education_key,education_id,country,iso,year,"Primary completion rate, total (% of relevant age group)","School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, male (% gross)","Primary completion rate, male (% of relevant age group)","School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","Primary completion rate, female (% of relevant age group)"
261,46,Canada,CAN,2019,-1,75.6988220214844,114.333267211914,113.869750976563,-1,100.694023132324,114.820533752441,-1,100.989753723145,101.272323608398,-1
262,47,Canada,CAN,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
263,48,Mexico,MEX,2005,100.573638916016,24.2164001464844,82.3040771484375,80.5658493041992,99.6275405883789,107.598243713379,84.033317565918,4.84568977355957,108.60083770752,109.572547912598,101.548400878906
264,49,Mexico,MEX,2006,100.888198852539,24.7904300689697,84.0856018066406,81.9230422973633,100.1787109375,107.070419311523,86.2486801147461,4.69992017745972,108.174766540527,109.246223449707,101.621002197266
265,50,Mexico,MEX,2007,101.960693359375,25.4210605621338,84.9070510864258,82.3140563964844,101.396469116211,107.66877746582,87.5231018066406,4.69050979614258,108.799713134766,109.898956298828,102.541519165039
266,51,Mexico,MEX,2008,101.29035949707,26.1120300292969,86.4275283813477,83.3457717895508,100.884307861328,108.320953369141,89.558837890625,4.82006978988647,109.424423217773,110.497207641602,101.707801818848
267,52,Mexico,MEX,2009,99.8245162963867,26.5867290496826,85.9380111694336,82.5510482788086,99.7133178710938,109.561187744141,89.3971099853516,5.18794012069702,110.545280456543,111.50106048584,99.9387588500977
268,53,Mexico,MEX,2010,100.239387512207,27.5634708404541,87.0699234008789,83.8309097290039,100.020286560059,109.838417053223,90.3881378173828,5.15922021865845,110.633491516113,111.404319763184,100.464401245117
269,54,Mexico,MEX,2011,100.197532653809,28.3414993286133,88.1901779174805,85.1508712768555,100.155639648438,109.890098571777,91.3068771362305,5.10564994812012,110.540756225586,111.170318603516,100.240592956543
270,55,Mexico,MEX,2012,106.011009216309,29.4718399047852,90.6671981811523,87.7582778930664,105.429573059082,109.915298461914,93.6471633911133,5.10309982299805,110.413452148438,110.894676208496,106.609817504883
