qol_key,qol_id,country,iso,year,"Unemployment, total (% of total labor force)",People using safely managed drinking water services (% of population),"Unemployment, male (% of male labor force)",Maternal leave benefits (% of wages paid in covered period),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),Prevalence of hypertension (% of adults ages 30-79),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),"Unemployment, female (% of female labor force)",Treatment for hypertension (% of adults ages 30-79 with hypertension),People using at least basic drinking water services (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk)
504,99,Germany,DEU,2008,7.519999981,99.88019395,7.414999962,-1,99.22296785,96.29508283,35.7,-1,7.644999981,56.5,100,0
505,100,Germany,DEU,2009,7.739999771,99.89147711,8.102000237,100,99.22355919,96.38563061,35.2,-1,7.311999798,57.6,100,0
506,101,Germany,DEU,2010,6.96999979,99.90276026,7.368999958,-1,99.22414752,96.47614557,34.6,1.52846539,6.499000072,58.6,100,0
507,102,Germany,DEU,2011,5.820000172,99.91404342,6.02699995,100,99.22473284,96.56662709,34,-1,5.578000069,59.4,100,0
508,103,Germany,DEU,2012,5.380000114,99.92532657,5.551000118,-1,99.22476301,96.64418546,33.4,-1,5.181000233,60.1,100,0
509,104,Germany,DEU,2013,5.230000019,99.93661213,5.499000072,100,99.22479556,96.72174779,32.8,-1,4.919000149,60.7,100.0000024,0
510,105,Germany,DEU,2014,4.980000019,99.94789288,5.282000065,-1,99.22482335,96.79930775,32.2,-1,4.631999969,61.2,100,0
511,106,Germany,DEU,2015,4.619999886,99.95917842,4.968999863,100,99.2248559,96.87687416,31.7,-1,4.218999863,61.6,100.0000024,0
512,107,Germany,DEU,2016,4.119999886,99.97045681,4.451000214,-1,99.22492357,96.95542656,31.2,-1,3.740999937,61.9,99.99999762,0
513,108,Germany,DEU,2017,3.75,99.98173998,4.129000187,100,99.22503522,97.03491046,30.7,-1,3.316999912,62.2,99.99999764,0
514,109,Germany,DEU,2018,3.380000114,99.99302315,3.789999962,-1,99.2251891,97.11539497,30.2,-1,2.910000086,62.4,99.99999765,0
