Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2008-0606-CAN,2008,Technological,Technological,Industrial accident,Explosion,Propone gaz facility,CAN,2008,8,2008,8,2,12518,,79.4563044
2008-0633-DEU,2008,Natural,Meteorological,Extreme temperature ,Cold wave,,DEU,2009,1,2009,1,1,,,79.4563044
2008-0664-DEU,2008,Technological,Technological,Transport accident,Road,,DEU,2008,11,2008,11,20,,,79.4563044
2008-0337-DEU,2008,Technological,Technological,Industrial accident,Gas leak,Factory,DEU,2008,8,2008,8,,107,,79.4563044
2008-0281-DEU,2008,Technological,Technological,Industrial accident,Chemical spill,Car factory,DEU,2008,7,2008,7,,101,,79.4563044
2009-0067-AUS,2009,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,AUS,2009,2,2009,2,180,9954,1641957,79.17380276
2009-0048-AUS,2009,Natural,Meteorological,Storm,Tropical cyclone,"Tropical storm ""Dominic""",AUS,2009,1,2009,2,,400,,79.17380276
2009-0099-CAN,2009,Technological,Technological,Transport accident,Air,Helicopter,CAN,2009,3,2009,3,16,1,,79.17380276
2007-0521-MEX,2007,Natural,Hydrological,Flood,Riverine flood,,MEX,2007,10,2007,11,22,1600000,3920611,76.5186792
2007-0383-USA,2007,Natural,Hydrological,Flood,Riverine flood,,USA,2007,8,2007,8,26,2840,914809,76.5186792
2007-0464-MEX,2007,Natural,Meteorological,Storm,Tropical cyclone,Lorenzo,MEX,2007,9,2007,10,5,33000,,76.5186792
2007-0581-USA,2007,Natural,Meteorological,Storm,,,USA,2007,12,2007,12,17,1128,1306870,76.5186792
2007-0662-USA,2007,Natural,Meteorological,Storm,Convective storm,,USA,2007,5,2007,5,12,40,457405,76.5186792
2007-0663-USA,2007,Natural,Meteorological,Storm,,,USA,2007,4,2007,4,23,,2613741,76.5186792
2007-0244-USA,2007,Natural,Hydrological,Flood,Riverine flood,,USA,2007,6,2007,7,8,5000,,76.5186792
2007-0613-KEN,2007,Natural,Hydrological,Flood,Riverine flood,,KEN,2007,12,2007,12,4,2000,,76.5186792
2007-0537-MEX,2007,Natural,Hydrological,Landslide,Landslide,,MEX,2007,11,2007,11,16,,,76.5186792
2007-0408-KEN,2007,Natural,Hydrological,Flood,Riverine flood,,KEN,2007,8,2007,10,13,40000,,76.5186792
2007-0690-USA,2007,Natural,Meteorological,Storm,,,USA,2007,5,2007,5,5,,392061,76.5186792
2007-0251-USA,2007,Natural,Hydrological,Flood,Flash flood,,USA,2007,6,2007,6,4,120,,76.5186792
2007-0519-USA,2007,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,2007,10,2007,10,8,640064,3267176,76.5186792
2007-0689-USA,2007,Natural,Meteorological,Storm,,,USA,2007,2,2007,2,4,27,392061,76.5186792
2007-0360-MEX,2007,Natural,Meteorological,Storm,Tropical cyclone,Dean,MEX,2007,8,2007,8,9,140000,784122,76.5186792
2007-0439-MEX,2007,Natural,Meteorological,Storm,Tropical cyclone,Felix,MEX,2007,9,2007,9,,30000,,76.5186792
2007-0156-USA,2007,Natural,Meteorological,Storm,Convective storm,,USA,2007,4,2007,4,10,280,,76.5186792
2007-0359-USA,2007,Natural,Meteorological,Storm,Tropical cyclone,Erin,USA,2007,8,2007,8,7,,,76.5186792
2007-0621-USA,2007,Natural,Meteorological,Storm,,,USA,2007,12,2007,12,22,,,76.5186792
2007-0641-USA,2007,Natural,Meteorological,Storm,,,USA,2007,12,2007,12,24,2,653435,76.5186792
2007-0177-KEN,2007,Natural,Hydrological,Flood,Riverine flood,,KEN,2007,5,2007,6,2,651,,76.5186792
2007-0535-KEN,2007,Technological,Technological,Transport accident,Road,,KEN,2007,11,2007,11,16,30,,76.5186792
2007-0564-KEN,2007,Technological,Technological,Transport accident,Road,,KEN,2007,12,2007,12,15,5,,76.5186792
2007-0583-KEN,2007,Technological,Technological,Transport accident,Road,,KEN,2007,11,2007,11,11,,,76.5186792
2007-0589-KEN,2007,Technological,Technological,Transport accident,Road,,KEN,2007,11,2007,11,11,10,,76.5186792
2007-0206-KEN,2007,Technological,Technological,Miscellaneous accident,Collapse,Wall,KEN,2007,6,2007,6,14,,,76.5186792
2007-0356-KEN,2007,Natural,Hydrological,Landslide,Mudslide,,KEN,2007,8,2007,8,20,6,,76.5186792
2007-0435-MEX,2007,Natural,Hydrological,Flood,Coastal flood,,MEX,2007,9,2007,9,,55000,,76.5186792
2007-0671-MEX,2007,Natural,Meteorological,Storm,Tropical cyclone,Henriette,MEX,2007,9,2007,9,6,,,76.5186792
2007-0266-MEX,2007,Technological,Technological,Transport accident,Road,,MEX,2007,7,2007,7,32,,,76.5186792
2007-0434-MEX,2007,Technological,Technological,Transport accident,Road,,MEX,2007,9,2007,9,29,120,,76.5186792
2007-0445-MEX,2007,Technological,Technological,Transport accident,Road,,MEX,2007,9,2007,9,15,12,,76.5186792
2007-0517-MEX,2007,Technological,Technological,Transport accident,Water,,MEX,2007,10,2007,10,24,,,76.5186792
2007-0549-MEX,2007,Technological,Technological,Industrial accident,Gas leak,Oil plateform,MEX,2007,10,2007,10,23,63,,76.5186792
2007-0403-TCD,2007,Natural,Hydrological,Flood,Riverine flood,,TCD,2007,8,2007,9,12,170000,,76.5186792
2007-0411-TCD,2007,Natural,Hydrological,Flood,Riverine flood,,TCD,2007,8,2007,8,3,3000,,76.5186792
2007-0375-TCD,2007,Natural,Meteorological,Storm,,,TCD,2007,5,2007,5,14,145,,76.5186792
2007-0083-USA,2007,Natural,Meteorological,Storm,Convective storm,,USA,2007,3,2007,3,20,20,784122,76.5186792
2007-0173-USA,2007,Natural,Hydrological,Flood,Riverine flood,,USA,2007,5,2007,5,8,100,,76.5186792
2007-0254-USA,2007,Natural,Hydrological,Flood,Riverine flood,,USA,2007,6,2007,6,10,750,36592,76.5186792
2007-0351-USA,2007,Natural,Climatological,Wildfire,Forest fire,,USA,2007,6,2007,7,,768,,76.5186792
2007-0579-USA,2007,Natural,Climatological,Wildfire,Forest fire,,USA,2007,11,2007,11,,10159,411664,76.5186792
2007-0493-USA,2007,Technological,Technological,Transport accident,Air,Cessna 208B,USA,2007,10,2007,10,10,,,76.5186792
2007-0336-USA,2007,Technological,Technological,Miscellaneous accident,Collapse,Bridge,USA,2007,8,2007,8,29,60,,76.5186792
2007-9548-USA,2007,Natural,Climatological,Drought,Drought,,USA,2007,10,2009,6,,,392061,76.5186792
2007-0118-USA,2007,Technological,Technological,Miscellaneous accident,Fire,Home,USA,2007,3,2007,3,10,,,76.5186792
2007-0209-VEN,2007,Technological,Technological,Transport accident,Road,,VEN,2007,5,2007,5,29,5,,76.5186792
2008-0304-MEX,2008,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Dolly,MEX,2008,7,2008,7,2,500000,94392,79.4563044
2008-0010-USA,2008,Natural,Hydrological,Flood,Riverine flood,,USA,2008,1,2008,1,2,1500,,79.4563044
2008-0210-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,5,2008,5,7,70,2013685,79.4563044
2008-0194-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,5,2008,5,22,150,880987,79.4563044
2008-0039-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,2,2008,2,59,150,1636119,79.4563044
2008-0115-USA,2008,Natural,Meteorological,Storm,Convective storm,,USA,2008,3,2008,3,2,177,566349,79.4563044
2008-0304-USA,2008,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Dolly,USA,2008,7,2008,7,,,1510264,79.4563044
2008-0518-KEN,2008,Natural,Hydrological,Flood,Riverine flood,,KEN,2008,11,2008,11,17,30770,,79.4563044
2008-0580-VEN,2008,Natural,Hydrological,Flood,Riverine flood,,VEN,2008,11,2008,11,8,1500,,79.4563044
2008-0131-USA,2008,Natural,Hydrological,Flood,Riverine flood,,USA,2008,3,2008,4,18,1000,2517,79.4563044
2008-0627-USA,2008,Natural,Hydrological,Flood,Riverine flood,,USA,2008,6,2008,6,24,11000148,12585534,79.4563044
2008-0338-USA,2008,Natural,Meteorological,Storm,Tropical cyclone,"Tropical Storm ""Fay""",USA,2008,8,2008,8,12,400,226540,79.4563044
2008-0384-USA,2008,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Ike,USA,2008,9,2008,9,82,200000,37756601,79.4563044
2008-0482-KEN,2008,Natural,Hydrological,Flood,Flash flood,,KEN,2008,10,2008,10,3,6000,,79.4563044
2008-0127-KEN,2008,Natural,Hydrological,Flood,Riverine flood,,KEN,2008,3,2008,4,,700,,79.4563044
2008-0260-KEN,2008,Natural,Hydrological,Flood,Riverine flood,,KEN,2008,6,2008,6,16,8658,,79.4563044
2008-0483-KEN,2008,Natural,Hydrological,Flood,Riverine flood,,KEN,2008,10,2008,10,17,6310,,79.4563044
