Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2005-0553-CAN,2005,Natural,Meteorological,Storm,,,CAN,2005,9,2005,9,,300,,72.07141045
2005-0451-CHE,2005,Natural,Hydrological,Flood,Riverine flood,,CHE,2005,8,2005,8,6,2500,2913777,72.07141045
2005-0713-CHE,2005,Natural,Meteorological,Extreme temperature ,Severe winter conditions,,CHE,2005,12,2005,12,,,,72.07141045
2005-0201-CHE,2005,Technological,Technological,Transport accident,Road,,CHE,2005,4,2005,4,12,,,72.07141045
2005-0364-DEU,2005,Natural,Hydrological,Flood,Riverine flood,,DEU,2005,7,2005,7,,450,,72.07141045
2005-0451-DEU,2005,Natural,Hydrological,Flood,Riverine flood,,DEU,2005,8,2005,8,1,,305253,72.07141045
2005-0713-DEU,2005,Natural,Meteorological,Extreme temperature ,Severe winter conditions,,DEU,2006,1,2006,1,10,,,72.07141045
2006-0224-CAN,2006,Natural,Hydrological,Flood,Riverine flood,,CAN,2006,4,2006,5,,2000,,74.39638749
2006-0156-DEU,2006,Natural,Hydrological,Flood,Riverine flood,,DEU,2006,3,2006,4,,1000,,74.39638749
2006-0352-DEU,2006,Natural,Meteorological,Storm,Convective storm,,DEU,2006,6,2006,6,1,100,,74.39638749
2006-0155-AUS,2006,Natural,Meteorological,Storm,Tropical cyclone,Glenda,AUS,2006,3,2006,4,,500,,74.39638749
2006-0043-AUS,2006,Natural,Meteorological,Storm,Tropical cyclone,Clare,AUS,2006,1,2006,1,,1500,3164,74.39638749
2006-0139-AUS,2006,Natural,Meteorological,Storm,Tropical cyclone,Larry,AUS,2006,3,2006,4,,7030,1586099,74.39638749
2006-0356-DEU,2006,Natural,Meteorological,Storm,,,DEU,2006,7,2006,7,,,,74.39638749
2006-0179-AUS,2006,Natural,Hydrological,Flood,Riverine flood,,AUS,2006,4,2006,4,,1100,,74.39638749
2006-0057-AUS,2006,Natural,Climatological,Wildfire,Forest fire,,AUS,2006,1,2006,4,3,81,67208,74.39638749
